Grib  N° 216
Zone : Lon: 121, Lat: -48 X Lon: 178, Lat: 41
Cases en longitudes: 57 pas de 1.01786°;
Cases en latitudes: 90 pas de 1°

Données TWS, TWD de la fenêtre 0

Date: 2017/04/02 12:00:00 UTC
LATITUDE\LONGITUDE	121.00000	122.01786	123.03572	124.05358	125.07144	126.08930	127.10716	128.12502	129.14288	130.16074	131.17860	132.19646	133.21432	134.23218	135.25004	136.26790	137.28576	138.30362	139.32148	140.33934	141.35720	142.37506	143.39292	144.41078	145.42864	146.44650	147.46436	148.48222	149.50008	150.51794	151.53580	152.55366	153.57152	154.58938	155.60724	156.62510	157.64296	158.66082	159.67868	160.69654	161.71440	162.73226	163.75012	164.76798	165.78584	166.80370	167.82156	168.83942	169.85728	170.87514	171.89300	172.91086	173.92872	174.94658	175.96444	176.98230	178.00016	
41.00000	3.78671;217.28167	8.94888;219.91552	6.60180;216.16133	4.32627;290.32886	4.05899;268.11818	2.91515;258.39036	4.27032;277.50933	7.59146;298.80951	7.06917;294.20404	19.31411;240.52477	24.13021;233.29257	26.00269;229.81822	24.07175;230.87629	20.78680;229.06861	17.94345;230.91367	16.25858;234.48382	16.31275;243.25175	17.41919;253.81396	17.22895;264.46437	9.26792;251.86527	11.35338;253.70291	11.95163;248.48412	11.31373;251.92305	7.45488;266.50791	3.05090;171.68043	3.74168;97.81691	4.79255;39.55266	5.76000;27.51629	11.54120;30.79826	13.11196;50.27491	11.18293;121.25583	9.61781;97.63176	7.08440;55.79106	3.18631;46.80458	8.10999;88.16496	9.85644;61.87833	7.79434;28.49528	12.28525;21.23408	13.27296;29.29422	6.65535;53.24055	10.44594;54.15370	13.13248;61.17769	13.96919;52.54808	14.42628;49.44811	14.97071;53.10183	14.69906;70.31661	16.50823;77.00285	15.80846;80.80175	16.10987;83.23891	16.70465;83.30419	16.71110;86.29853	16.17991;91.91810	15.05493;95.12169	12.01758;95.68201	8.92475;94.19302	4.38138;77.08960	2.98271;343.33652	
40.00000	17.14472;235.85950	6.48008;211.28210	4.44068;282.99236	3.78940;254.44096	1.60816;243.65795	3.58037;196.06162	6.32563;284.81517	9.44424;278.67130	15.58142;224.90902	20.79078;227.08380	21.99790;226.72226	21.59641;232.46379	21.96430;236.81904	17.46800;235.95449	16.46663;239.84824	16.53971;251.69069	15.26036;257.44903	15.18235;265.02082	14.74851;274.86072	3.49431;249.33801	3.41393;229.22532	9.98611;224.53470	4.90226;265.45144	7.36661;337.92907	10.34212;53.68364	7.11844;84.47000	6.61183;15.35514	10.75696;357.14742	10.97954;344.38901	10.36043;190.53619	11.13494;132.78571	9.22757;97.16514	10.05437;80.87822	7.96343;68.89722	7.45837;55.28690	9.20261;63.23469	8.22161;16.32685	8.81268;15.67632	8.61072;35.46250	11.12507;28.88930	13.62191;49.84478	14.69239;53.56522	15.37622;51.26101	15.51491;48.70805	16.08066;59.43297	18.79342;70.06752	21.33080;72.06039	21.77292;73.14887	21.47617;77.34744	21.22716;83.98138	20.74396;90.99707	19.53559;95.71627	17.34352;100.38928	15.55285;104.84562	12.89519;109.81708	8.72292;111.36752	2.82152;108.06047	
39.00000	10.62117;216.89087	8.05006;237.58399	14.84545;250.86043	17.59076;256.67936	12.40325;240.81980	2.88173;249.21416	5.23060;236.27450	16.97608;249.03314	15.49141;232.65847	19.77361;215.10553	19.10835;221.56481	17.68014;227.00932	17.16694;239.62261	16.28772;251.38990	14.99923;255.93674	13.88555;259.73461	12.31340;266.25000	11.57476;274.27524	11.57079;271.97361	3.59688;237.52263	4.05717;311.75664	1.95509;100.16473	4.87362;297.14760	7.13924;310.63852	8.21959;290.25631	5.84921;335.53871	12.41974;3.40337	13.18518;351.30008	10.20555;318.62928	7.06271;154.04851	8.42503;102.46758	9.46311;83.93574	7.43508;67.23610	9.83668;92.65377	12.70338;79.32110	12.56359;51.48279	11.50741;26.14953	10.19434;33.78097	11.89162;28.68072	14.45327;34.11324	13.70828;47.18361	14.97895;49.57371	16.75008;45.82282	18.24891;54.38499	20.00825;60.81023	23.09586;65.47982	25.82284;70.08506	26.57820;73.79846	27.30036;76.91762	28.66349;81.14453	28.12128;84.49039	26.38582;86.58954	24.90754;91.34783	21.27400;94.53687	17.77552;96.08467	13.16700;101.78106	7.78909;116.37321	
38.00000	10.04877;134.13789	7.62744;169.48475	12.03041;212.65012	14.65988;240.59341	7.87110;264.41190	6.14638;275.19131	3.33107;230.32714	4.48494;233.51253	16.58435;251.97492	19.47247;203.70929	16.12948;213.25342	13.18215;229.25758	13.55896;250.12848	12.81640;262.98708	11.01240;270.55625	9.35647;272.14788	8.68310;272.08991	5.78101;269.86239	2.80120;269.46046	4.28628;271.77264	12.86506;325.83212	6.90379;304.21357	3.75843;320.45622	8.64941;341.51212	9.88304;356.73015	13.03449;5.64513	13.22125;5.16324	13.52937;4.24667	4.15842;104.62087	8.92451;87.87299	10.61373;72.03626	12.31370;67.89291	12.59963;73.84940	15.25608;73.54619	16.11970;67.92916	16.23543;49.88087	15.35961;39.81950	15.70600;32.16173	15.79705;36.57942	14.69386;50.77672	17.04795;52.56564	18.15321;41.19689	19.86989;40.95392	22.60763;44.42522	22.93493;54.78917	24.70592;61.12798	27.27701;68.88099	28.94074;75.13304	30.91702;84.07075	30.34979;88.82562	30.40775;96.58166	33.44163;99.45794	28.83438;92.46158	26.28730;94.58913	24.47968;94.17618	22.13929;95.34017	15.80680;97.06384	
37.00000	3.93685;166.58129	6.82534;213.79416	12.79440;232.67396	11.96034;245.65931	11.81183;261.57787	12.01827;275.71520	6.62244;249.73527	3.81465;267.15217	5.37428;259.79154	15.44300;202.32639	11.92553;218.89317	9.76289;238.62343	9.13825;261.54276	7.43762;291.25361	7.07870;315.00000	4.88207;6.17140	1.87690;123.29179	1.82569;184.66769	2.49499;294.38854	4.72690;338.92054	4.58561;328.57389	9.26876;359.39919	9.80972;359.14846	12.57809;2.61302	16.10670;359.97036	17.60417;5.47830	14.99555;27.92700	5.33937;58.57834	11.56457;77.57565	13.70077;68.37068	15.14797;55.75730	13.56636;57.28450	12.05267;81.17361	16.83636;80.63773	16.91346;66.34574	17.79219;55.87416	17.92291;49.23088	17.21218;43.47162	15.56913;45.78912	16.55278;48.10831	19.20637;44.22090	20.70594;38.86478	20.41289;31.48776	20.45600;40.93496	18.03812;34.15586	7.46921;337.15188	21.76265;256.80285	31.12929;242.07799	34.26517;233.88421	33.78780;233.98717	31.73304;235.35301	35.29431;234.16519	37.37240;230.14864	30.66643;221.53099	17.08604;182.41710	20.84981;134.35787	17.03395;121.89449	
36.00000	13.70062;177.23502	12.56584;198.11543	11.43018;224.18007	10.50463;245.74470	10.07559;270.64744	10.19863;281.94603	3.47083;222.13986	5.62189;266.58061	4.47807;231.34408	7.32644;197.78116	3.60662;230.46725	1.99234;294.52214	3.68024;341.84258	5.58765;358.89648	9.85144;3.22373	4.94592;24.29859	3.97890;1.71976	1.92364;359.77252	3.01252;99.39182	4.17334;52.09459	12.79553;20.11696	15.36493;12.56812	14.73720;6.99735	17.17868;6.81703	20.92717;3.11116	11.97642;13.45884	9.33355;57.86560	9.69684;61.62145	11.74475;70.06550	14.47957;67.66296	12.71934;54.68015	8.24142;47.94448	9.92076;67.67116	15.90962;75.87037	15.71489;69.22912	16.65833;70.57554	16.83033;56.72840	14.99159;47.18059	16.81758;45.44487	17.41366;39.75562	18.26389;32.17280	17.63274;16.12933	13.76544;350.28495	14.71637;297.76665	22.29269;265.31303	30.62138;244.01077	32.71335;235.14465	29.33438;230.89251	29.47757;230.67045	31.85464;230.19891	34.12444;229.50491	34.65426;225.74996	35.38876;223.70917	34.72723;221.21006	27.18106;216.36508	24.82962;223.35998	20.60464;193.19719	
35.00000	12.55400;159.51664	9.11494;180.42327	7.85231;213.04884	7.91320;252.38402	8.96716;278.61982	9.36720;292.19000	4.55371;309.37029	3.65547;300.51961	3.39541;132.54067	1.79677;60.73949	7.08841;9.83532	4.78124;31.33129	3.02821;339.27091	4.78293;356.51430	4.77147;352.74470	3.35711;302.41191	2.09384;290.49254	1.92529;70.66682	2.26383;61.65693	9.02462;42.40734	14.26465;31.46991	16.60520;23.78338	18.61411;14.54561	20.98586;9.75373	20.18558;11.38568	8.66993;35.65714	10.63309;59.95241	11.58206;67.23072	11.55241;70.43697	14.00257;71.14501	12.87432;60.05554	11.31481;46.52446	9.94705;37.75223	9.53756;48.99972	11.21767;63.59923	13.88997;66.58136	15.21242;60.53935	15.26925;47.53839	15.99647;40.43138	16.95249;24.24332	15.11682;6.55002	13.93408;315.58215	18.33737;274.83426	25.79651;247.60531	29.98192;232.15532	31.30190;232.35157	31.16528;233.09294	30.42726;231.08867	30.70542;229.82754	31.06127;229.11091	31.16349;227.55322	31.72664;225.79434	31.12232;225.86038	29.08369;223.29382	27.15366;220.13327	23.89159;221.63586	21.85853;226.08092	
34.00000	11.96122;147.67878	8.04677;158.59183	4.58387;180.64218	3.35256;253.07484	6.37242;292.39535	10.21815;312.33234	15.05910;316.09829	15.68224;321.45665	7.94350;353.59741	11.11723;3.42223	7.10077;348.85002	6.62442;347.56894	1.72978;328.65529	4.15312;348.68218	10.45158;16.69924	4.97960;328.27674	2.56747;159.35460	4.41949;111.73121	7.33960;64.67692	11.55779;43.30310	14.65499;35.15514	18.59222;24.01115	20.25877;17.92730	21.04518;18.78304	14.25684;18.16074	15.08909;57.84753	15.70554;57.06324	18.71084;55.44978	18.37028;65.36036	17.33006;69.83735	15.39208;70.10962	12.44761;56.69706	10.82413;41.13366	9.12573;24.52880	7.84514;17.87826	8.45690;14.07457	9.75318;5.99807	9.45505;347.13517	11.61638;314.50509	17.14767;290.66399	19.20519;277.01712	19.18106;262.81017	23.53774;241.78417	24.85801;234.10867	27.48003;229.50113	30.55338;228.37857	29.97878;228.49604	29.12399;227.40733	28.78490;227.79997	28.23844;227.14793	28.13793;228.55119	28.49166;228.45443	28.28738;224.88864	26.83601;219.97242	25.43263;217.06609	22.16324;220.60020	19.23831;222.21528	
33.00000	10.73954;133.31316	6.97350;127.58222	3.58604;117.18731	2.34488;45.83966	5.08189;353.78784	10.54163;348.38341	12.93026;343.59199	14.01352;327.64584	13.90011;346.98016	4.12652;345.91008	2.82280;282.81511	14.58297;319.05907	7.72277;347.58272	11.83135;29.16341	16.60388;352.56715	5.99443;358.04133	5.23878;101.49547	5.18646;66.24028	8.66353;41.46166	12.59344;40.92552	15.43205;31.43162	16.93736;24.12940	19.81047;18.42428	18.99634;13.10624	10.34497;2.46187	10.14506;37.16631	7.02536;29.03305	1.48019;91.80086	8.13874;136.16124	11.74322;119.73076	12.90067;97.08518	10.33503;77.91653	8.67887;56.96483	7.47261;36.22900	6.97816;24.94458	7.26606;11.18368	9.00605;342.55450	11.68027;311.73490	14.25930;284.37344	14.71086;268.15542	19.07400;260.68071	24.48848;240.27261	25.98216;229.08022	27.40576;224.06891	27.53313;224.68822	27.40832;224.59773	26.61508;226.07121	26.10922;225.90191	26.62085;222.29508	26.96328;221.74159	26.83796;223.76452	26.02921;224.13768	24.39355;220.95786	22.80560;217.21664	21.66484;217.44259	19.77029;221.08524	16.74166;221.70536	
