 TWA\TWS	        0	        1	        2	        3	        4	        5	        6	        7	        8	        9	       10	       11	       12	       13	       14	       15	       16	       17	       18	       19	       20	       21	       22	       23	       24	       25	       26	       27	       28	       29	       30	       31	       32	       33	       34	       35	       36	       37	       38	       39	
0       	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
1       	 0.000000	 0.069715	 0.127274	 0.163865	 0.184062	 0.193813	 0.191178	 0.175655	 0.160397	 0.159565	 0.177704	 0.213077	 0.248408	 0.266953	 0.269600	 0.261648	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	 0.248398	
2       	 0.000000	 0.139391	 0.254485	 0.327670	 0.368079	 0.387597	 0.382361	 0.351388	 0.320943	 0.319309	 0.355570	 0.426255	 0.496854	 0.533909	 0.539198	 0.523310	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	 0.496833	
3       	 0.000000	 0.208989	 0.381571	 0.491355	 0.552006	 0.581320	 0.573556	 0.527274	 0.481786	 0.479412	 0.533760	 0.639638	 0.745375	 0.800871	 0.808792	 0.784997	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	 0.745344	
4       	 0.000000	 0.278469	 0.508469	 0.654859	 0.735796	 0.774954	 0.764768	 0.703392	 0.643074	 0.640053	 0.712434	 0.853326	 0.994008	 1.067842	 1.078381	 1.046723	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	 0.993966	
5       	 0.000000	 0.347791	 0.635117	 0.818124	 0.919405	 0.968467	 0.956004	 0.879819	 0.804955	 0.801411	 0.891754	 1.067423	 1.242790	 1.334826	 1.347962	 1.308500	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	 1.242739	
6       	 0.000000	 0.416918	 0.761452	 0.981088	 1.102788	 1.161831	 1.147269	 1.056631	 0.967578	 0.963667	 1.071882	 1.282029	 1.491760	 1.601825	 1.617535	 1.570343	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	 1.491699	
7       	 0.000000	 0.485809	 0.887411	 1.143691	 1.285900	 1.355016	 1.338569	 1.233905	 1.131092	 1.126998	 1.252979	 1.497248	 1.740954	 1.868843	 1.887097	 1.832262	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	 1.740883	
8       	 0.000000	 0.554425	 1.012932	 1.305874	 1.468694	 1.547990	 1.529909	 1.411720	 1.295644	 1.291585	 1.435208	 1.713181	 1.990411	 2.135882	 2.156646	 2.094273	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	 1.990330	
9       	 0.000000	 0.622728	 1.137952	 1.467577	 1.651126	 1.740725	 1.721296	 1.590151	 1.461384	 1.457606	 1.618729	 1.929930	 2.240167	 2.402947	 2.426181	 2.356386	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	 2.240076	
10      	 0.000000	 0.690677	 1.262409	 1.628739	 1.833150	 1.933191	 1.912735	 1.769277	 1.628459	 1.625242	 1.803704	 2.147596	 2.490260	 2.670039	 2.695700	 2.618616	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	 2.490160	
